id,r,g,b
1,70.0,145.0,229.0
2,106.0,35.0,153.0
3,64.0,18.0,71.0
4,33.0,183.0,254.0
5,187.0,171.0,215.0
6,29.0,17.0,26.0
7,204.0,96.0,238.0
8,197.0,113.0,105.0
9,46.0,30.0,39.0
10,3.0,1.0,196.0
11,25.0,4.0,169.0
12,59.0,7.0,206.0
13,61.0,13.0,61.0
14,225.0,145.0,90.0
15,200.0,114.0,226.0
16,86.0,173.0,232.0
17,206.0,177.0,155.0
18,238.0,230.0,244.0
19,177.0,139.0,109.0
20,117.0,93.0,90.0
21,221.0,218.0,234.0
22,188.0,166.0,203.0
23,221.0,214.0,229.0
24,105.0,30.0,110.0
25,27.0,25.0,27.0
26,200.0,79.0,226.0
27,60.0,27.0,212.0
28,24.0,22.0,24.0
29,62.0,150.0,245.0
30,19.0,214.0,251.0
31,40.0,23.0,40.0
32,48.0,49.0,216.0
33,133.0,21.0,187.0
34,232.0,227.0,229.0
35,22.0,18.0,22.0
36,196.0,13.0,222.0
37,173.0,138.0,205.0
38,35.0,30.0,35.0
39,216.0,204.0,210.0
40,187.0,52.0,206.0
41,56.0,6.0,211.0
42,222.0,219.0,247.0
43,39.0,153.0,225.0
44,37.0,33.0,38.0
45,196.0,3.0,250.0
46,204.0,205.5,223.0
47,152.0,133.0,239.0
48,85.0,147.0,233.0
49,28.0,25.0,28.0
50,56.0,26.0,207.0
51,37.0,32.0,37.0
52,41.0,8.0,215.0
53,160.0,77.0,17.0
54,31.0,153.0,239.0
55,6.0,150.0,231.0
56,36.0,26.0,36.0
57,129.0,100.0,91.0
58,46.0,29.0,49.0
59,249.0,103.0,4.0
60,32.0,8.0,208.0
61,140.0,57.0,57.0
62,205.0,190.0,227.0
63,22.0,17.0,22.0
64,68.0,148.0,226.0
65,74.0,39.0,22.0
66,141.0,37.0,17.0
67,55.0,106.0,229.0
68,31.0,21.0,31.0
69,232.0,230.0,232.0
70,74.0,158.0,237.0
71,28.0,25.0,25.0
72,178.0,55.0,40.0
73,54.0,157.0,247.0
74,19.0,1.0,115.0
75,231.0,213.0,220.0
76,86.0,59.0,47.0
77,171.0,81.0,12.0
78,22.0,20.0,20.0
79,231.0,224.0,235.0
80,198.0,21.0,231.0
81,38.0,22.0,27.0
82,25.0,18.0,20.0
83,52.0,24.0,50.0
84,170.0,112.5,184.0
85,7.0,2.0,221.0
86,231.0,234.0,239.0
87,32.0,30.0,32.0
88,223.0,222.0,225.0
89,23.0,22.0,22.0
90,196.0,144.0,223.0
91,194.0,53.0,43.0
92,23.0,20.0,22.0
93,179.0,192.0,250.0
94,26.0,118.0,206.0
95,39.0,21.0,33.0
96,71.0,191.0,238.0
97,23.0,17.0,20.0
98,61.0,144.5,247.0
99,48.0,40.0,218.0
100,23.0,15.0,14.0
101,198.0,122.0,69.0
102,196.0,9.0,253.0
103,49.0,37.0,189.0
104,20.0,14.0,19.0
105,198.0,145.0,239.0
106,200.0,72.0,229.0
107,61.0,1.0,3.0
108,41.0,36.0,37.0
109,42.0,159.0,218.0
110,240.0,235.0,236.0
111,75.0,168.0,249.0
112,27.0,24.0,27.0
113,225.0,212.0,219.0
114,123.0,81.0,43.0
115,111.0,73.0,44.0
116,198.0,1.0,253.0
117,128.0,27.0,201.0
118,58.0,30.0,144.0
119,63.0,27.0,41.0
120,231.0,224.0,230.0
121,246.0,246.0,246.0
122,74.0,41.0,40.0
123,205.0,198.0,224.0
124,32.0,28.0,30.0
125,225.0,192.0,169.0
126,70.0,206.0,253.0
127,205.0,203.0,211.0
128,62.0,50.0,123.0
129,49.0,173.0,253.0
130,167.0,36.0,217.0
131,64.0,33.0,43.0
132,17.0,15.0,17.0
133,246.0,246.0,248.0
134,33.0,24.0,34.0
135,37.0,32.0,38.0
136,85.0,16.0,93.0
137,217.0,216.0,224.0
138,115.0,44.0,73.0
139,201.0,191.0,207.0
140,20.0,12.0,13.0
141,231.0,158.0,4.0
142,206.0,206.0,210.0
143,232.0,229.0,231.0
144,68.0,187.0,244.0
145,114.0,216.0,234.0
146,121.0,151.0,238.0
147,190.0,26.0,223.0
148,250.0,250.0,251.0
149,184.0,104.0,7.0
150,22.0,13.0,17.0
151,74.0,31.0,87.0
152,33.0,27.0,33.0
153,38.0,33.0,35.0
154,98.0,56.0,4.0
155,71.0,38.0,30.0
156,48.0,24.0,49.0
157,51.0,181.0,240.0
158,42.0,30.0,169.0
159,149.0,33.0,9.0
160,37.0,31.0,34.0
161,16.0,12.0,16.0
162,37.0,109.0,167.0
163,64.0,118.0,170.0
164,212.0,215.0,235.0
165,177.0,177.0,244.0
166,113.0,216.0,234.0
167,187.0,87.0,209.0
168,217.0,185.0,170.0
169,195.0,142.0,203.0
170,110.0,137.0,251.0
171,29.0,22.0,176.0
172,38.0,34.0,36.0
173,26.0,22.0,23.0
174,64.0,55.0,245.0
175,32.0,26.0,28.0
176,33.0,17.0,24.0
177,233.0,230.0,237.0
178,68.0,38.0,69.0
179,90.0,22.0,160.0
180,48.0,43.0,48.0
181,125.0,75.0,58.0
182,6.0,167.0,235.0
183,173.0,145.0,138.0
184,32.0,24.0,32.0
185,152.0,60.0,40.0
186,237.0,226.0,235.0
187,183.0,104.0,98.0
188,229.0,224.0,218.0
189,89.0,71.0,50.0
190,198.0,2.0,252.0
191,29.0,28.0,29.0
192,147.0,48.0,31.0
193,217.0,221.0,231.0
194,8.0,162.0,229.0
195,198.0,79.0,95.0
196,79.0,37.0,218.0
197,72.0,59.0,175.0
198,28.0,20.0,30.0
199,36.0,18.0,192.0
200,155.0,111.0,97.0
201,56.0,45.0,58.0
202,192.0,66.0,205.0
203,32.0,27.0,29.0
204,204.0,168.0,173.0
205,112.0,64.0,17.0
206,115.0,41.0,18.0
207,21.0,18.0,21.0
208,198.0,175.0,253.0
209,202.0,115.0,3.0
210,38.0,201.0,251.0
211,240.0,239.0,242.0
212,203.0,190.0,206.0
213,151.0,65.0,115.0
214,26.0,153.0,230.0
215,93.0,152.0,197.0
216,41.0,26.0,52.0
217,41.0,2.0,191.0
218,39.0,22.0,179.0
219,200.0,116.0,228.0
220,186.0,182.0,210.0
221,19.0,8.0,13.0
222,201.0,152.0,142.0
223,205.0,156.0,125.0
224,143.0,123.0,165.0
225,104.0,54.0,197.0
226,85.0,36.0,115.0
227,130.0,97.0,88.0
228,60.0,22.0,206.0
229,74.0,44.0,49.0
230,51.0,35.0,233.0
231,28.0,23.0,28.0
232,60.0,123.0,215.0
233,229.0,222.0,249.0
234,242.0,241.0,246.0
235,23.0,21.0,23.0
236,130.0,179.0,253.0
237,23.0,20.0,23.0
238,24.0,17.0,15.0
239,95.0,193.0,242.0
240,24.0,20.0,22.0
241,19.5,118.0,235.0
242,76.0,194.0,252.0
243,239.0,203.0,164.0
244,179.0,219.0,237.0
245,212.0,109.0,75.0
246,231.0,215.0,201.0
247,45.0,10.0,230.0
248,54.0,17.0,194.0
249,25.0,24.0,25.0
250,83.0,36.0,58.0
251,132.0,91.0,102.0
252,233.0,232.0,236.0
253,56.0,131.0,218.0
254,0,0,0
255,118.0,241.0,254.0
256,198.0,1.0,253.0
257,180.0,170.0,189.0
258,78.0,20.0,226.0
259,109.0,80.0,251.0
260,41.0,24.0,36.0
261,152.0,46.0,13.0
262,36.0,18.0,198.0
263,31.0,1.0,203.0
264,27.0,22.0,28.0
265,165.0,111.0,88.0
266,104.0,188.0,244.0
267,48.0,15.0,36.0
268,31.0,11.0,202.0
269,37.0,21.0,47.0
270,209.0,198.0,226.0
271,33.0,30.0,33.0
272,204.0,206.0,221.0
273,42.0,29.0,199.0
274,59.0,31.0,202.0
275,53.0,24.0,76.0
276,23.0,11.0,25.0
277,195.0,135.0,114.0
278,60.0,216.0,254.0
279,52.0,109.0,169.0
280,28.0,24.0,28.0
281,92.0,55.0,47.0
282,228.0,227.0,230.0
283,37.0,33.0,35.0
284,4.0,2.0,198.0
285,29.0,22.0,24.0
286,199.0,1.0,253.0
287,18.0,2.0,165.0
288,124.0,133.0,233.0
289,198.0,90.0,238.0
290,199.0,84.0,239.0
291,163.0,22.0,172.0
292,198.0,6.0,248.0
293,4.0,1.0,198.0
294,238.0,237.0,241.0
295,32.0,31.0,32.0
296,238.0,238.0,241.0
297,234.0,224.0,201.0
298,39.0,100.0,210.0
299,39.0,31.0,32.0
300,138.0,25.0,248.0
301,171.0,209.0,227.0
302,44.0,29.0,34.0
303,92.0,60.0,49.0
304,112.0,50.0,5.0
305,19.0,13.0,19.0
306,198.0,2.0,252.0
307,8.0,2.0,180.0
308,157.0,69.0,28.0
309,233.0,237.0,244.0
310,245.0,242.0,242.0
311,68.0,28.0,33.0
312,29.0,26.0,30.0
313,234.0,226.0,236.0
314,188.0,181.0,181.0
315,214.0,208.0,222.0
316,33.0,24.0,29.0
317,16.0,11.0,16.0
318,63.0,37.0,81.0
319,139.0,55.0,90.0
320,232.0,202.0,183.0
321,38.0,30.0,38.0
322,238.0,236.0,241.0
323,68.0,200.0,245.0
324,40.0,175.0,252.0
325,26.0,24.0,26.0
326,254.0,225.0,210.0
327,136.0,39.0,47.0
328,195.0,37.0,232.0
329,30.0,24.0,30.0
330,218.0,217.0,223.0
331,7.0,56.0,204.0
332,37.0,33.0,36.0
333,1.0,183.0,238.0
334,33.0,1.0,199.0
335,25.0,17.0,21.0
336,119.0,87.0,78.0
337,48.0,165.0,243.0
338,30.0,26.0,28.0
339,70.0,226.0,241.0
340,38.0,28.0,179.0
341,144.0,51.0,62.0
342,204.0,126.0,12.0
343,114.0,33.0,146.0
344,14.0,85.0,167.0
